rank,name,position,team,bye_week,projected_fantasy_points,tier,adp,projection_method,team_conflict,source,ranking_basis
37,Tee Higgins,WR,CIN,6,182.5,2,37.95,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
38,Tetairoa McMillan,WR,CAR,5,198.5,2,38.16,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
39,Travis Etienne Jr.,RB,NO,8,219.5,2,40.51,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
40,Emeka Egbuka,WR,TB,10,194.0,2,41.2,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
41,Drake Maye,QB,NE,11,319.0,2,42.7,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
42,Colston Loveland,TE,CHI,10,166.0,2,43.01,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
43,Cam Skattebo,RB,NYG,8,217.5,2,44.43,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
44,Bucky Irving,RB,TB,10,189.5,2,47.03,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
45,Quinshon Judkins,RB,CLE,11,209.0,2,48.26,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
46,Garrett Wilson,WR,NYJ,13,198.0,2,49.33,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
47,Joe Burrow,QB,CIN,6,304.0,2,49.59,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
48,Luther Burden III,WR,CHI,10,168.5,2,51.68,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
49,David Montgomery,RB,HOU,8,176.5,2,52.78,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
50,D'Andre Swift,RB,CHI,10,197.0,2,52.8,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
51,Ladd McConkey,WR,LAC,7,180.0,2,52.82,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
52,TreVeyon Henderson,RB,NE,11,186.5,2,53.34,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
53,Jayden Daniels,QB,WAS,7,318.0,2,53.68,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
