rank,name,position,team,bye_week,projected_fantasy_points,tier,adp,projection_method,team_conflict,source,ranking_basis
169,Kimani Vidal,RB,LAC,7,35.0,5,228.03,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
171,Jake Ferguson,TE,DAL,14,130.5,5,231.83,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
171,Washington Commanders D/ST,DST,WAS,7,8.0,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
172,Omar Cooper Jr.,WR,NYJ,13,85.0,5,234.31,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
173,Denzel Boston,WR,CLE,11,106.0,5,234.78,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
174,Mike Washington Jr.,RB,LV,13,61.0,5,235.17,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
174,Los Angeles Rams D/ST,DST,LAR,11,7.8,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
175,Ray Davis,RB,BUF,7,34.0,5,235.5,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
176,Jalen McMillan,WR,TB,10,109.5,5,238.28,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
177,Pittsburgh Steelers D/ST,DST,PIT,9,7.6,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
178,Jake Bates,K,DET,6,135.9,5,242.18,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
179,Adonai Mitchell,WR,NYJ,13,104.0,5,242.81,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
180,Mike Gesicki,TE,CIN,6,87.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
180,Nicholas Singleton,RB,TEN,9,18.0,5,243.96,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
180,Cincinnati Bengals D/ST,DST,CIN,6,7.2,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
181,Kyler Murray,QB,MIN,6,251.0,5,246.41,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
182,Cairo Santos,K,CHI,10,132.9,5,246.48,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
183,Oronde Gadsden II,TE,LAC,7,85.0,5,246.52,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
183,Arizona Cardinals D/ST,DST,ARI,14,7.2,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
184,Jalen Nailor,WR,LV,13,102.0,5,253.28,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
185,Travis Hunter,WR,JAX,7,91.0,5,253.7,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
186,Kaytron Allen,RB,WAS,7,14.0,5,254.2,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
186,Philadelphia Eagles D/ST,DST,PHI,10,7.1,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
187,Jordan Love,QB,GB,11,259.0,5,259.3,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
187,Geno Smith,QB,NYJ,13,232.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
188,De'Zhaun Stribling,WR,SF,8,92.0,5,261.14,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
189,Chicago Bears D/ST,DST,CHI,10,7.0,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
190,MarShawn Lloyd,RB,GB,11,59.0,5,261.57,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
191,Kayshon Boutte,WR,NE,11,64.5,5,262.9,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
192,Tre Tucker,WR,LV,13,114.0,5,263.77,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
192,Minnesota Vikings D/ST,DST,MIN,6,6.9,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
193,Hunter Henry,TE,NE,11,122.0,5,263.79,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
194,Cameron Ward,QB,TEN,9,219.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
194,Calvin Ridley,WR,TEN,9,121.0,5,264.06,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
195,Tyreek Hill,WR,,N/A,64.4,5,264.42,adp_estimate,False,Local ADP estimate,season_projection
195,San Francisco 49ers D/ST,DST,SF,8,6.8,5,,published,False,https://www.fantasypros.com/nfl/projections/dst.php?week=1,week_1_matchup_projection
196,Baker Mayfield,QB,TB,10,265.0,5,265.16,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
200,Tyler Shough,QB,NO,8,265.0,5,273.31,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
201,Blake Grupe,K,IND,13,133.4,5,,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
201,Antonio Williams,WR,WAS,7,95.0,5,273.8,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
202,Juwan Johnson,TE,NO,8,111.0,5,274.2,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
203,Tre Harris,WR,LAC,7,72.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
203,Chig Okonkwo,TE,WAS,7,94.5,5,279.22,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
204,Brenton Strange,TE,JAX,7,112.5,5,279.23,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
204,Michael Mayer,TE,LV,13,62.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
205,Jaylen Wright,RB,MIA,6,39.5,5,279.65,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
206,Justice Hill,RB,BAL,13,94.5,5,280.06,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
207,Trey Benson,RB,ARI,14,35.0,5,282.7,adp_estimate,False,Local ADP estimate,season_projection
210,Ja'Tavion Sanders,TE,CAR,5,60.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
210,Jaydon Blue,RB,DAL,14,42.5,5,283.79,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
211,Dyami Brown,WR,WAS,7,70.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
211,Tre' Harris,WR,LAC,7,59.6,5,283.81,adp_estimate,False,Local ADP estimate,season_projection
212,Chase McLaughlin,K,TB,10,132.9,5,284.67,published,False,https://www.fantasypros.com/nfl/projections/k.php?week=draft,season_projection
213,Malik Willis,QB,MIA,6,237.0,5,285.73,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
214,Ollie Gordon II,RB,MIA,6,33.0,5,286.45,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
215,Kaelon Black,RB,SF,8,27.0,5,288.9,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
216,Ryan Flournoy,WR,DAL,14,73.0,5,289.75,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
217,Demond Claiborne,RB,MIN,6,21.5,5,290.05,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
218,Brandon Aiyuk,WR,SF,8,54.8,5,290.77,adp_estimate,False,Local ADP estimate,season_projection
219,Isaac TeSlaa,WR,DET,6,61.0,5,290.97,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
220,Deshaun Watson,QB,CLE,11,124.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
220,George Holani,RB,SEA,11,37.0,5,291.55,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
221,Treylon Burks,WR,WAS,7,67.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
226,Tank Dell,WR,HOU,8,86.0,5,293.29,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
227,Malik Washington,WR,MIA,6,85.5,5,293.46,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
228,Dawson Knox,TE,BUF,7,55.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
228,Austin Ekeler,RB,,N/A,35.0,5,293.7,adp_estimate,False,Local ADP estimate,season_projection
229,Jordan James,RB,SF,8,57.0,5,293.83,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
230,Devin Neal,RB,NO,8,35.0,5,294.04,adp_estimate,False,Local ADP estimate,season_projection
231,Troy Franklin,WR,DEN,10,42.5,5,294.35,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
231,Andrei Iosivas,WR,CIN,6,63.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
232,Jaylin Noel,WR,HOU,8,61.5,5,294.78,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
232,Michael Penix Jr.,QB,ATL,11,114.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
233,Zachariah Branch,WR,ATL,11,82.0,5,295.0,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
234,Darnell Mooney,WR,NYG,8,76.5,5,295.19,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
234,Will Shipley,RB,PHI,10,22.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
235,Dalton Schultz,TE,HOU,8,103.5,5,295.25,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
236,Kaleb Johnson,RB,PIT,9,5.0,5,295.25,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
237,Dontayvion Wicks,WR,PHI,10,54.0,5,295.29,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
238,Sam Darnold,QB,SEA,11,242.0,5,295.6,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
239,C.J. Stroud,QB,HOU,8,246.0,5,295.63,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
239,Shedeur Sanders,QB,CLE,11,96.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
240,Malachi Fields,WR,NYG,8,27.5,5,295.85,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
240,Hunter Luepke,RB,DAL,14,20.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
241,Kenyon Sadiq,TE,NYJ,13,128.5,5,295.94,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
242,Malik Davis,RB,DAL,14,34.0,5,295.99,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
244,Rashod Bateman,WR,BAL,13,104.0,5,296.08,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
244,Savion Williams,WR,GB,11,58.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
245,AJ Barner,TE,SEA,11,91.5,5,296.25,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
246,Emari Demercado,RB,KC,5,55.0,5,296.33,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
246,Tommy Tremble,TE,CAR,5,49.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
247,Samaje Perine,RB,CIN,6,91.5,5,296.51,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
248,T.J. Hockenson,TE,MIN,6,119.0,5,296.55,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
249,Isaiah Davis,RB,NYJ,13,44.5,5,296.97,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
250,Bam Knight,RB,ARI,14,1.0,5,297.11,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
251,Chimere Dike,WR,TEN,9,26.5,5,297.37,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
252,Pat Bryant,WR,DEN,10,59.0,5,297.39,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
252,Noah Gray,TE,KC,5,48.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
253,Ty Johnson,RB,BUF,7,74.0,5,297.53,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
254,Joe Mixon,RB,,N/A,35.0,5,297.75,adp_estimate,False,Local ADP estimate,season_projection
255,Greg Dulcich,TE,MIA,6,93.0,5,297.75,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
255,Tahj Brooks,RB,CIN,6,18.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
257,Chris Brooks,RB,GB,11,36.0,5,297.93,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
258,Elijah Arroyo,TE,SEA,11,49.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
258,Kendre Miller,RB,NO,8,7.0,5,297.94,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
258,Carson Beck,QB,ARI,14,29.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
259,Cam Ward,QB,TEN,9,174.0,5,297.96,adp_estimate,False,Local ADP estimate,season_projection
260,Ja'Kobi Lane,WR,BAL,13,69.0,5,297.97,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
260,Jaylin Lane,WR,WAS,7,52.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
261,Noah Whittington,RB,HOU,8,35.0,5,298.08,adp_estimate,False,Local ADP estimate,season_projection
262,Daniel Jones,QB,IND,13,267.0,5,298.24,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
263,DeMario Douglas,WR,NE,11,49.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
263,DJ Giddens,RB,IND,13,31.5,5,298.36,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
264,Mason Taylor,TE,NYJ,13,43.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
264,Kyle Juszczyk,RB,SF,8,35.0,5,298.41,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
265,Justin Fields,QB,KC,5,11.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
266,Keon Coleman,WR,BUF,7,50.5,5,298.59,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
267,Cooper Kupp,WR,SEA,11,83.0,5,298.6,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
268,Nick Westbrook-Ikhine,WR,IND,13,49.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
268,Terrance Ferguson,TE,LAR,11,113.0,5,298.68,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
269,Salvon Ahmed,RB,CHI,10,35.0,5,298.69,adp_estimate,False,Local ADP estimate,season_projection
270,Cole Kmet,TE,CHI,10,43.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
270,Cyrus Allen,WR,KC,5,36.0,5,298.7,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
270,Adam Prentice,RB,DEN,10,8.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
271,Phil Mafah,RB,DAL,14,35.0,5,298.71,adp_estimate,False,Local ADP estimate,season_projection
272,Joe Flacco,QB,CIN,6,11.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
272,Caleb Douglas,WR,MIA,6,64.5,5,298.74,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
273,Elijah Mitchell,RB,PHI,10,35.0,5,298.78,adp_estimate,False,Local ADP estimate,season_projection
273,Connor Heyward,RB,LV,13,8.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
274,Bryce Young,QB,CAR,5,238.0,5,298.85,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
275,Kalel Mullings,RB,TEN,9,35.0,5,298.95,adp_estimate,False,Local ADP estimate,season_projection
276,Ashton Dulin,WR,IND,13,46.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
276,Kareem Hunt,RB,,N/A,35.0,5,299.04,adp_estimate,False,Local ADP estimate,season_projection
276,Noah Fant,TE,NO,8,34.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
278,Jarrett Stidham,QB,DEN,10,10.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
278,Tutu Atwell,WR,MIA,6,43.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
279,Germie Bernard,WR,PIT,9,103.5,5,299.11,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
280,Chris Bell,WR,MIA,6,72.0,5,299.16,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
281,Kevin Coleman Jr.,WR,MIA,6,41.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
281,Najee Harris,RB,LAC,7,35.0,5,299.19,adp_estimate,False,Local ADP estimate,season_projection
282,Tyquan Thornton,WR,KC,5,65.0,5,299.22,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
282,Austin Hooper,TE,ATL,11,32.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
283,Alexander Mattison,RB,,N/A,35.0,5,299.23,adp_estimate,False,Local ADP estimate,season_projection
283,Marquise Brown,WR,PHI,10,41.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
284,Ted Hurst III,WR,TB,10,53.5,5,299.25,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
285,LeQuint Allen Jr.,RB,JAX,7,35.0,5,299.33,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
285,Andrew Beck,RB,NYJ,13,6.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
286,Elic Ayomanor,WR,TEN,9,13.0,5,299.34,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
288,Jalen Tolbert,WR,MIA,6,72.5,5,299.37,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
288,Elijah Higgins,TE,ARI,14,32.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
288,Riley Nowakowski,RB,PIT,9,6.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
289,Kendrick Bourne,WR,ARI,14,38.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
289,Chip Trayanum,RB,NYJ,13,35.0,5,299.37,adp_estimate,False,Local ADP estimate,season_projection
291,Raheim Sanders,RB,CLE,11,35.0,5,299.43,adp_estimate,False,Local ADP estimate,season_projection
291,Kalif Raymond,WR,CHI,10,38.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
292,Adam Randall,RB,BAL,13,23.0,5,299.46,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
293,Reggie Gilliam,RB,NE,11,6.0,5,299.47,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
294,Erick All,TE,CIN,6,31.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
294,Patrick Ricard,RB,NYG,8,5.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
294,Brashard Smith,RB,KC,5,1.0,5,299.48,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
295,Jack Bech,WR,LV,13,65.5,5,299.5,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
296,Jerome Ford,RB,WAS,7,35.0,5,299.55,adp_estimate,False,Local ADP estimate,season_projection
296,Luke McCaffrey,WR,WAS,7,36.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
297,Devin Singletary,RB,NYG,8,18.0,5,299.55,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
298,AJ Dillon,RB,CAR,5,35.0,5,299.57,adp_estimate,False,Local ADP estimate,season_projection
299,Jacoby Brissett,QB,ARI,14,200.0,5,299.59,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
299,Josh Palmer,WR,BUF,7,36.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
300,Nick Chubb,RB,,N/A,35.0,5,299.6,adp_estimate,False,Local ADP estimate,season_projection
300,Will Kacmarek,TE,MIA,6,31.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
300,Jawhar Jordan,RB,HOU,8,7.0,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
301,Gunnar Helm,TE,TEN,9,97.0,5,299.61,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
302,Elijah Sarratt,WR,BAL,13,49.0,5,299.63,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
303,Tory Horton,WR,SEA,11,54.0,5,299.66,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
305,Darius Slayton,WR,NYG,8,69.0,5,299.74,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
306,Drew Sample,TE,CIN,6,30.5,5,,published,False,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf,season_projection
